,S6.1 - JASON / DANIEL S.,,,,,,
,Block 1 - Day 1,,,,,,
,Time,Game,,Location,Point Deduction,,
,11:00 AM,Chubby Bunny,,Pool,0,,
,11:20 AM,Cone Memory,,Court,0,,
,11:40 PM,Scale,,Terrace,0,,
,12:00 PM,Talk,Big Mac,Main Hall / Football Field,0,,
,12:30 PM,Big Mac,Talk,Football Field / Main Hall,0,,
,1:00 PM,END OF BLOCK,,,,,
,Block 2 - Day 1,,,,,,
,Time,Game,,Location,Point Deduction,,
,5:00 PM,Talk,,Main Hall,0,,
,5:30 PM,Cheesy Strings,,Football Field,0,,
,6:00 PM,Bible Whispers,,Pool,0,,
,6:20 PM,Puzzle,,Court,0,,
,6:40 PM,Lift,,Terrace,0,,
,7:00 PM,END OF BLOCK,,,,,
,Block 3 - Day 1,,,,,,
,Time,Game,,Location,Point Deduction,,
,7:15 PM,Big Bucket 2,,Football Field,0,,1. Football Field
,7:45 PM,Talk 2,,Main Hall,0,,2. Terrace
,8:15 PM,END OF BLOCK,,,,,3. Court
,Block 4 - Day 2,,,,,,4. Pool
,Time,Game,,Location,Point Deduction,,5. Roof
,10:00 AM,Golden Snitch 2,,Football Field,0,,MH = Main Hall
,10:30 AM,Nadala+ 2,,Roof,0,,
,11:00 AM,Talk 2,,Main Hall,0,,
,11:30 AM,Balloon Darts 2,,Court,0,,
,12:00 PM,END OF BLOCK,,,,,
,,,,Total Deduction:,0,,
